"date","HTPos","HTTotal","HTAvgDaily","MolecularPos","MolecularTotal","MolecularAvgDaily"
2021-12-15,0,3,0,1654,11264,0.146839488636364
2021-12-16,0,4,0,2468,17932,0.137631050635735
2021-12-17,1,41,0.024390243902439,2369,18216,0.130050505050505
2021-12-18,1,13,0.0769230769230769,1230,7890,0.155893536121673
2021-12-19,4,9,0.444444444444444,262,1648,0.158980582524272
2021-12-20,4,36,0.111111111111111,4636,21663,0.214005447075659
2021-12-21,1,20,0.05,5316,24025,0.221269510926119
2021-12-22,5,23,0.217391304347826,6637,29864,0.222240825073667
2021-12-23,20,50,0.4,4801,21869,0.219534500891673
2021-12-24,26,91,0.285714285714286,1543,7196,0.214424680377988
2021-12-25,27,59,0.457627118644068,313,872,0.35894495412844
2021-12-26,24,50,0.48,598,2419,0.247209590739975
2021-12-27,16,73,0.219178082191781,6924,22239,0.311344934574396
2021-12-28,22,50,0.44,6704,20160,0.332539682539683
2021-12-29,16,43,0.372093023255814,6457,19416,0.332560774618871
2021-12-30,23,51,0.450980392156863,5094,16003,0.318315315878273
2021-12-31,28,62,0.451612903225806,1690,5510,0.306715063520871
2022-01-01,10,34,0.294117647058824,327,678,0.482300884955752
2022-01-02,18,59,0.305084745762712,585,1920,0.3046875
2022-01-03,31,74,0.418918918918919,7099,17212,0.412444805949338
2022-01-04,30,74,0.405405405405405,6508,15453,0.421147997152656
2022-01-05,27,63,0.428571428571429,4892,12835,0.381145305804441
2022-01-06,42,67,0.626865671641791,360,890,0.404494382022472
2022-01-07,46,92,0.5,5037,14100,0.357234042553191
2022-01-08,52,125,0.416,1772,4982,0.355680449618627
2022-01-09,56,132,0.424242424242424,436,1440,0.302777777777778
2022-01-10,67,186,0.360215053763441,5518,15717,0.351084812623274
2022-01-11,71,172,0.412790697674419,4822,13373,0.360577282584312
2022-01-12,47,125,0.376,4290,12870,0.333333333333333
2022-01-13,31,89,0.348314606741573,3623,11038,0.328229751766624
2022-01-14,35,87,0.402298850574713,3344,12518,0.26713532513181
2022-01-15,33,92,0.358695652173913,1260,4435,0.284103720405862
2022-01-16,31,96,0.322916666666667,269,1228,0.219055374592834
2022-01-17,43,172,0.25,2141,9201,0.232692098684926
2022-01-18,28,100,0.28,3146,10454,0.300937440214272
2022-01-19,52,114,0.456140350877193,2400,8503,0.282253322356815
2022-01-20,23,80,0.2875,2086,7535,0.276841406768414
2022-01-21,29,112,0.258928571428571,1855,8588,0.215999068467629
2022-01-22,17,71,0.23943661971831,827,3915,0.211238825031928
2022-01-23,17,125,0.136,184,1095,0.168036529680365
2022-01-24,14,113,0.123893805309735,2028,8523,0.237944385779655
2022-01-25,11,58,0.189655172413793,1489,7386,0.201597617113458
2022-01-26,16,65,0.246153846153846,1281,6738,0.190115761353517
2022-01-27,6,48,0.125,1054,5728,0.184008379888268
2022-01-28,8,59,0.135593220338983,1001,6307,0.158712541620422
2022-01-29,14,60,0.233333333333333,482,3047,0.158188382015097
2022-01-30,8,134,0.0597014925373134,133,992,0.134072580645161
2022-01-31,9,109,0.0825688073394495,1082,7100,0.152394366197183
2022-02-01,13,46,0.282608695652174,803,5081,0.158039755953552
2022-02-02,4,34,0.117647058823529,743,4873,0.152472809357685
2022-02-03,4,34,0.117647058823529,645,4274,0.150912494150679
2022-02-04,2,20,0.1,518,4667,0.110992071994858
2022-02-05,3,20,0.15,255,2348,0.108603066439523
2022-02-06,5,53,0.0943396226415094,66,743,0.0888290713324361
2022-02-07,4,53,0.0754716981132075,621,5471,0.113507585450557
2022-02-08,2,20,0.1,563,4044,0.139218595450049
2022-02-09,4,36,0.111111111111111,455,4098,0.111029770619815
2022-02-10,1,23,0.0434782608695652,406,3660,0.110928961748634
2022-02-11,2,31,0.0645161290322581,341,4755,0.0717139852786541
2022-02-12,4,15,0.266666666666667,141,2178,0.0647382920110193
2022-02-13,4,70,0.0571428571428571,48,821,0.0584652862362972
2022-02-14,0,36,0,396,5432,0.0729013254786451
2022-02-15,1,15,0.0666666666666667,317,4209,0.0753148016155857
2022-02-16,2,19,0.105263157894737,291,4134,0.0703918722786647
2022-02-17,3,30,0.1,261,3131,0.0833599488981156
2022-02-18,1,25,0.04,221,4125,0.0535757575757576
